"","Owner","Team","DollarAmount","AvgDonation","Donation Count"
"82","Tony Ressler","Atlanta Hawks",47600,5950,8
"83","Stuart Sternberg","Tampa Bay Rays",46136,4194.18181818182,11
"84","Marian Ilitch","Detroit Tigers, Detroit Red Wings",42500,8500,5
"85","Bryan Glazer","Tampa Bay Buccaneers",41400,5914.28571428571,7
"86","Jim Crane","Houston Astros",40400,6733.33333333333,6
"87","Ginny Gilder","Seattle Storm",38550,4283.33333333333,9
"88","Bobby Patton","Los Angeles Dodgers",36100,36100,1
"89","Joel Glazer","Tampa Bay Buccaneers",35800,7160,5
"90","Richard L. Monfort","Colorado Rockies",35400,3933.33333333333,9
"91","Mark H. Murphy (Executive Committee)","Green Bay Packers",35000,11666.6666666667,3
"92","John P. McConnell","Columbus Blue Jackets",34900,4362.5,8
"93","Darcie Glazer Kassewitz","Tampa Bay Buccaneers",33300,6660,5
"94","Saul Katz","New York Mets",32777,2731.41666666667,12
"95","Ron Fowler","San Diego Padres",32700,6540,5
"96","Jack Roush","Roush Fenway Racing",32560,2504.61538461538,13
"97","Joe Ellis","Denver Broncos",32000,6400,5
"98","Sheila Ford Hamp","Detroit Lions",30000,7500,4
"99","Lisa Brummel","Seattle Storm",28350,2835,10
"100","Amy Adams Strunk","Tennessee Titans",28100,5620,5
"101","Jeffrey Lurie","Philadelphia Eagles",27700,6925,4
"102","Peter Guber","Golden State Warriors, Los Angeles Dodgers",26975,4495.83333333333,6
"103","Mary Brock","Atlanta Dream",26200,5240,5
"104","Robert Kraft","New England Patriots",26000,5200,5
"105","John Middleton","Philadelphia Phillies",25900,4316.66666666667,6
"106","Bob Nutting","Pittsburgh Pirates",25000,8333.33333333333,3
"107","Mark Walter","Los Angeles Dodgers, Los Angeles Sparks",25000,8333.33333333333,3
"108","Vincent J. Viola","Florida Panthers",25000,8333.33333333333,3
"109","W. Joseph Williams Jr.","Cincinnati Reds",25000,2500,10
"110","John Stanton","Seattle Mariners",24400,3485.71428571429,7
"111","Adam Silver","Commissioner",22400,1866.66666666667,12
"112","Roger Goodell","Commissioner",21320,3553.33333333333,6
"113","John Mara","New York Giants",21000,5250,4
"114","Greg Johnson","San Francisco Giants",20000,3333.33333333333,6
"115","Denise DeBartolo York","San Francisco 49ers",19000,2714.28571428571,7
"116","D. Cal McNair","Houston Texans",17800,5933.33333333333,3
"117","Mark D. Lerner","Washington Nationals",17500,1944.44444444444,9
"118","Gene Haas","Stewart Haas Racing",16400,5466.66666666667,3
"119","George H. McCaskey","Chicago Bears",15000,5000,3
"120","Mark Davis","Las Vegas Raiders",15000,5000,3
"121","Virginia McCaskey","Chicago Bears",15000,5000,3
"122","John York","San Francisco 49ers",14250,3562.5,4
"123","Michael Reinsdorf","Chicago Bulls",13100,4366.66666666667,3
"124","Alan Smolinisky","Los Angeles Dodgers",12800,6400,2
"125","Chip Ganassi","Chip Ganassi Racing",11900,2975,4
"126","Dawn Trudeau","Seattle Storm",11220,1402.5,8
"127","Billie Jean King","Los Angeles Dodgers",11200,2240,5
"128","Chris Ilitch","Detroit Tigers, Detroit Red Wings",10000,5000,2
"129","Joe Gibbs","Joe Gibbs Racing",10000,5000,2
"130","Tom Ricketts","Chicago Cubs",10000,10000,1
"131","Bruce Sherman","Miami Marlins",8700,2900,3
"132","Alex Meruelo","Arizona Coyotes",8300,2766.66666666667,3
"133","Scott Malkin","New York Islanders",8300,4150,2
"134","Tom Stillman","Saint Louis Blues",7000,2333.33333333333,3
"135","Jeanie Buss (Buss Family Trusts)","Los Angeles Lakers",5948,1487,4
"136","Christopher Johnson","New York Jets",5400,1800,3
"137","Rob Manfred","Commissioner",5200,2600,2
"138","Bob R. Simpson","Texas Rangers",5000,1666.66666666667,3
"139","Charles K. Monfort","Colorado Rockies",5000,5000,1
"140","Hal Steinbrenner","New York Yankees",5000,5000,1
"141","John Sherman","Kansas City Royals",5000,5000,1
"142","Jon Ledecky","New York Islanders",5000,5000,1
"143","Stephen J. Bisciotti","Baltimore Ravens",5000,5000,1
"144","Cathy Engelbert","Commissioner",3750,3750,1
"145","Mary Kelly","Denver Broncos",2990,498.333333333333,6
"146","Robert Plummer","Los Angeles Dodgers",2800,2800,1
"147","Gayle Benson","New Orleans Pelicans, New Orleans Saints",2700,2700,1
"148","John W. Henry","Boston Red Sox, Roush Fenway Racing",2700,2700,1
"149","Andrew Murstein","Richard Petty Motorsports",2000,1000,2
"150","Gary Bettman","Commissioner",1000,1000,1
"151","Ilana Kloss","Los Angeles Dodgers",1000,1000,1
"152","Neil Leibman","Texas Rangers",1000,1000,1
"153","Richard Petty","Richard Petty Motorsports",1000,1000,1
"154","Jeff Dickerson","Spire Motorsports",650,325,2
"155","Harvey Alter","Chicago Sky",500,500,1
"156","Wyc Grousbeck","Boston Celtics",500,500,1
"157","Jerry Bruckheimer","Seattle Kraken",250,250,1
"158","Troy Stafford","Premium Motorsports",250,250,1
