"","League","TotalAmount","AvgDonation","% of Total Donations"
"1","MLB",19485673,26120.2050938338,0.475816337476704
"2","NBA",6501779,14073.1147186147,0.158765502780579
"3","NHL",6425482,19530.3404255319,0.156902423219485
"4","NFL",5926820,13348.6936936937,0.144725706178261
"5","WNBA",1883942,6875.70072992701,0.04600356284633
"6","NASCAR",728393,9220.16455696203,0.0177864674986421
